"GEO_ID","id"
"DP05_0057PM","Percent Margin of Error!!RACE!!Total population!!One race!!Some other race"
"DP05_0058E","Estimate!!RACE!!Total population!!Two or more races"
"DP05_0058M","Margin of Error!!RACE!!Total population!!Two or more races"
"DP05_0058PE","Percent!!RACE!!Total population!!Two or more races"
"DP05_0058PM","Percent Margin of Error!!RACE!!Total population!!Two or more races"
"DP05_0059E","Estimate!!RACE!!Total population!!Two or more races!!White and Black or African American"
"DP05_0059M","Margin of Error!!RACE!!Total population!!Two or more races!!White and Black or African American"
"DP05_0059PE","Percent!!RACE!!Total population!!Two or more races!!White and Black or African American"
"DP05_0059PM","Percent Margin of Error!!RACE!!Total population!!Two or more races!!White and Black or African American"
"DP05_0060E","Estimate!!RACE!!Total population!!Two or more races!!White and American Indian and Alaska Native"
"DP05_0060M","Margin of Error!!RACE!!Total population!!Two or more races!!White and American Indian and Alaska Native"
"DP05_0060PE","Percent!!RACE!!Total population!!Two or more races!!White and American Indian and Alaska Native"
"DP05_0060PM","Percent Margin of Error!!RACE!!Total population!!Two or more races!!White and American Indian and Alaska Native"
"DP05_0061E","Estimate!!RACE!!Total population!!Two or more races!!White and Asian"
"DP05_0061M","Margin of Error!!RACE!!Total population!!Two or more races!!White and Asian"
"DP05_0061PE","Percent!!RACE!!Total population!!Two or more races!!White and Asian"
"DP05_0061PM","Percent Margin of Error!!RACE!!Total population!!Two or more races!!White and Asian"
"DP05_0062E","Estimate!!RACE!!Total population!!Two or more races!!Black or African American and American Indian and Alaska Native"
"DP05_0062M","Margin of Error!!RACE!!Total population!!Two or more races!!Black or African American and American Indian and Alaska Native"
"DP05_0062PE","Percent!!RACE!!Total population!!Two or more races!!Black or African American and American Indian and Alaska Native"
"DP05_0062PM","Percent Margin of Error!!RACE!!Total population!!Two or more races!!Black or African American and American Indian and Alaska Native"
"DP05_0063E","Estimate!!Race alone or in combination with one or more other races!!Total population"
"DP05_0063M","Margin of Error!!Race alone or in combination with one or more other races!!Total population"
"DP05_0063PE","Percent!!Race alone or in combination with one or more other races!!Total population"
"DP05_0063PM","Percent Margin of Error!!Race alone or in combination with one or more other races!!Total population"
"DP05_0064E","Estimate!!Race alone or in combination with one or more other races!!Total population!!White"
"DP05_0064M","Margin of Error!!Race alone or in combination with one or more other races!!Total population!!White"
"DP05_0064PE","Percent!!Race alone or in combination with one or more other races!!Total population!!White"
"DP05_0064PM","Percent Margin of Error!!Race alone or in combination with one or more other races!!Total population!!White"
"DP05_0065E","Estimate!!Race alone or in combination with one or more other races!!Total population!!Black or African American"
"DP05_0065M","Margin of Error!!Race alone or in combination with one or more other races!!Total population!!Black or African American"
"DP05_0065PE","Percent!!Race alone or in combination with one or more other races!!Total population!!Black or African American"
"DP05_0065PM","Percent Margin of Error!!Race alone or in combination with one or more other races!!Total population!!Black or African American"
"DP05_0066E","Estimate!!Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native"
"DP05_0066M","Margin of Error!!Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native"
"DP05_0066PE","Percent!!Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native"
"DP05_0066PM","Percent Margin of Error!!Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native"
"DP05_0067E","Estimate!!Race alone or in combination with one or more other races!!Total population!!Asian"
"DP05_0067M","Margin of Error!!Race alone or in combination with one or more other races!!Total population!!Asian"
"DP05_0067PE","Percent!!Race alone or in combination with one or more other races!!Total population!!Asian"
"DP05_0067PM","Percent Margin of Error!!Race alone or in combination with one or more other races!!Total population!!Asian"
"DP05_0068E","Estimate!!Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander"
"DP05_0068M","Margin of Error!!Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander"
"DP05_0068PE","Percent!!Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander"
"DP05_0068PM","Percent Margin of Error!!Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander"
"DP05_0069E","Estimate!!Race alone or in combination with one or more other races!!Total population!!Some other race"
"DP05_0069M","Margin of Error!!Race alone or in combination with one or more other races!!Total population!!Some other race"
"DP05_0069PE","Percent!!Race alone or in combination with one or more other races!!Total population!!Some other race"
"DP05_0069PM","Percent Margin of Error!!Race alone or in combination with one or more other races!!Total population!!Some other race"
"DP05_0070E","Estimate!!HISPANIC OR LATINO AND RACE!!Total population"
"DP05_0070M","Margin of Error!!HISPANIC OR LATINO AND RACE!!Total population"
"DP05_0070PE","Percent!!HISPANIC OR LATINO AND RACE!!Total population"
"DP05_0070PM","Percent Margin of Error!!HISPANIC OR LATINO AND RACE!!Total population"
"DP05_0071E","Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)"
"DP05_0071M","Margin of Error!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)"
"DP05_0071PE","Percent!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)"
"DP05_0071PM","Percent Margin of Error!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)"
"DP05_0072E","Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Mexican"
"DP05_0072M","Margin of Error!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Mexican"
"DP05_0072PE","Percent!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Mexican"
"DP05_0072PM","Percent Margin of Error!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Mexican"
"DP05_0073E","Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican"
"DP05_0073M","Margin of Error!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican"
"DP05_0073PE","Percent!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican"
"DP05_0073PM","Percent Margin of Error!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican"
"DP05_0074E","Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban"
"DP05_0074M","Margin of Error!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban"
"DP05_0074PE","Percent!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban"
"DP05_0074PM","Percent Margin of Error!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban"
"DP05_0075E","Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino"
"DP05_0075M","Margin of Error!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino"
"DP05_0075PE","Percent!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino"
"DP05_0075PM","Percent Margin of Error!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino"
"DP05_0076E","Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino"
"DP05_0076M","Margin of Error!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino"
"DP05_0076PE","Percent!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino"
"DP05_0076PM","Percent Margin of Error!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino"
"DP05_0077E","Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone"
"DP05_0077M","Margin of Error!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone"
"DP05_0077PE","Percent!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone"
"DP05_0077PM","Percent Margin of Error!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone"
"DP05_0078E","Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone"
